age_years,gender,ssc_percentage,hsc_percentage,degree_percentage,degree_specialization,technical_score,aptitude_score,communication_score,skills_match_percentage,certifications_count,internship_experience,years_of_experience,career_switch_willingness,relevant_experience,previous_ctc_lpa,expected_ctc_lpa,company_tier,job_role_match,competition_level,bond_requirement,notice_period_days,layoff_history,employment_gap_months,relocation_willingness,status
27,Male,65.062,83.843,75.857,Computer Science,58.222,89.566,64.474,79.549,2,No,1,Willing,Relevant,3.531,5.806,Tier 3,Not Matched,Medium,Not Required,15,No,18,Not Willing,Not Placed
24,Male,67.886,64.973,73.094,Electronics,71.928,54.592,61.077,73.316,1,Yes,0,Not Willing,Relevant,9.858,10.808,Tier 1,Matched,High,Required,0,No,3,Not Willing,Not Placed
33,Female,73.892,68.834,90.196,Information Technology,72.445,58.587,79.495,75.467,1,Yes,1,Willing,Relevant,5.802,5.477,Tier 3,Not Matched,Low,Not Required,0,No,3,Not Willing,Placed
31,Male,74.146,76.255,75.587,Mechanical,78.856,61.022,53.74,73.676,2,No,0,Not Willing,Relevant,2.13,9.981,Tier 2,Matched,Low,Not Required,0,Yes,6,Willing,Not Placed
28,Male,60.476,65.786,80.801,Information Technology,68.287,65.714,61.438,88.995,1,No,0,Willing,Not Relevant,7.948,8.921,Tier 2,Matched,Medium,Not Required,0,No,3,Willing,Not Placed
33,Female,60.642,66.152,78.203,Others,85.064,46.293,47.639,78.307,1,Yes,1,Not Willing,Relevant,4.919,3.0,Tier 2,Not Matched,Low,Not Required,60,No,0,Not Willing,Placed
25,Female,78.224,69.578,79.871,Mechanical,85.168,47.188,70.349,79.936,1,Yes,1,Not Willing,Relevant,7.947,7.114,Tier 2,Matched,Low,Not Required,0,No,0,Not Willing,Placed
27,Female,70.003,69.111,75.431,Others,75.672,56.392,76.383,77.546,0,Yes,3,Willing,Relevant,8.056,3.104,Tier 1,Matched,Medium,Not Required,0,No,0,Not Willing,Placed
30,Female,69.536,78.758,79.758,Mechanical,78.283,62.647,81.63,67.932,3,Yes,2,Not Willing,Relevant,4.19,3.0,Tier 3,Matched,Low,Not Required,20,No,0,Willing,Placed
23,Female,70.972,78.102,72.768,Mechanical,54.554,61.056,59.568,95.125,0,No,2,Willing,Relevant,5.925,3.091,Tier 1,Not Matched,High,Required,0,No,0,Willing,Not Placed
27,Male,81.741,84.465,67.322,Electronics,76.438,58.923,59.711,68.009,2,No,1,Not Willing,Relevant,3.89,4.401,Tier 3,Matched,Medium,Not Required,60,No,6,Not Willing,Not Placed
31,Female,80.585,89.821,66.437,Information Technology,64.543,66.74,80.148,80.051,1,Yes,0,Willing,Relevant,5.328,3.0,Tier 1,Not Matched,Medium,Not Required,15,No,18,Willing,Not Placed
31,Female,72.734,74.351,76.397,Others,85.602,58.459,77.107,74.436,1,No,0,Willing,Not Relevant,6.618,3.709,Tier 3,Matched,Low,Required,90,No,3,Willing,Not Placed
28,Male,64.601,72.061,76.595,Computer Science,63.321,69.529,69.894,74.861,0,Yes,4,Willing,Relevant,7.285,12.339,Tier 2,Matched,High,Not Required,30,No,0,Willing,Placed
25,Male,88.517,71.517,74.027,Electronics,60.06,63.699,60.433,66.558,2,Yes,3,Not Willing,Relevant,5.63,6.341,Tier 3,Not Matched,Medium,Required,30,No,0,Willing,Not Placed
24,Male,75.606,63.101,66.104,Computer Science,56.25,57.688,74.741,98.117,2,No,3,Willing,Relevant,5.25,9.205,Tier 3,Matched,Low,Not Required,0,No,6,Willing,Not Placed
28,Female,80.936,61.033,69.135,Others,63.019,54.81,52.085,82.963,3,No,0,Not Willing,Relevant,5.207,6.231,Tier 1,Matched,Medium,Not Required,15,No,0,Willing,Not Placed
28,Female,68.093,60.583,81.94,Computer Science,75.741,66.313,61.317,83.917,1,No,3,Not Willing,Relevant,2.546,9.196,Tier 3,Matched,Medium,Not Required,60,No,0,Willing,Not Placed
23,Male,60.75,67.513,75.19,Mechanical,70.703,69.889,70.404,61.86,0,No,0,Willing,Relevant,7.071,6.233,Tier 1,Not Matched,Low,Required,60,No,3,Not Willing,Not Placed
26,Male,74.071,70.922,82.261,Information Technology,74.589,77.895,45.0,57.604,0,No,0,Willing,Relevant,6.144,10.564,Tier 2,Matched,Medium,Not Required,15,Yes,0,Willing,Not Placed
25,Female,70.134,56.638,73.658,Information Technology,66.929,67.492,75.276,74.362,0,Yes,3,Not Willing,Not Relevant,2.247,10.8,Tier 3,Matched,Medium,Not Required,60,No,0,Willing,Not Placed
22,Male,83.215,80.779,66.674,Electronics,67.558,59.024,67.605,74.064,2,No,1,Not Willing,Relevant,4.732,5.87,Tier 2,Matched,Medium,Not Required,30,No,6,Willing,Not Placed
28,Male,69.189,67.314,81.497,Others,64.438,60.303,78.165,91.512,1,Yes,4,Not Willing,Not Relevant,3.427,3.768,Tier 3,Matched,Low,Not Required,15,No,0,Willing,Placed
32,Male,66.432,72.061,65.28,Computer Science,54.875,62.952,73.828,54.044,2,Yes,0,Not Willing,Relevant,3.821,3.856,Tier 2,Matched,Low,Not Required,90,No,12,Willing,Not Placed
34,Male,80.267,72.847,79.989,Computer Science,65.954,67.599,69.353,79.067,0,No,4,Not Willing,Not Relevant,7.36,3.0,Tier 3,Matched,Medium,Not Required,0,No,12,Not Willing,Placed
26,Female,66.653,82.619,64.121,Computer Science,52.873,51.904,59.29,69.882,4,No,1,Not Willing,Relevant,3.63,7.645,Tier 1,Matched,Medium,Not Required,20,No,0,Willing,Not Placed
22,Female,67.796,75.417,77.455,Mechanical,73.631,59.362,66.501,85.791,2,No,2,Willing,Not Relevant,6.271,8.812,Tier 1,Not Matched,Low,Not Required,30,No,0,Willing,Not Placed
32,Female,57.644,57.5,71.081,Others,52.129,56.966,78.501,78.234,1,Yes,2,Willing,Relevant,1.0,6.377,Tier 1,Matched,Low,Not Required,15,No,0,Not Willing,Not Placed
25,Male,79.021,62.699,75.4,Others,67.709,50.582,59.752,69.255,0,Yes,2,Not Willing,Relevant,6.474,11.215,Tier 3,Matched,High,Required,30,No,0,Willing,Placed
21,Female,68.579,73.205,78.4,Mechanical,65.005,71.62,71.986,75.243,0,No,1,Willing,Relevant,7.13,5.14,Tier 1,Not Matched,High,Required,15,Yes,6,Willing,Not Placed
32,Female,60.579,72.061,71.152,Others,70.013,48.331,50.597,74.063,1,No,1,Not Willing,Relevant,5.767,7.714,Tier 2,Not Matched,Medium,Required,0,No,3,Willing,Not Placed
30,Male,70.003,77.249,84.9,Information Technology,96.179,54.532,79.46,63.378,0,No,1,Willing,Relevant,6.454,8.11,Tier 2,Matched,Medium,Not Required,0,No,3,Not Willing,Placed
26,Male,67.87,54.431,71.85,Computer Science,69.86,63.947,73.508,73.343,0,No,0,Not Willing,Relevant,1.24,13.394,Tier 3,Matched,Medium,Not Required,0,No,3,Not Willing,Not Placed
